route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
5526,1,472486,2R E MAIN TO REYNOLDSBURG,0,316558,39146
5526,1,472590,2F E MAIN TO FOUNTAIN LANE,0,316574,39145
5526,1,472487,2F E MAIN TO FOUNTAIN LANE,0,316559,39151
5526,1,472481,2T E MAIN TO BRICE ROAD AND SCARBOROUGH BLVD,0,316552,39139
5526,1,472482,2F E MAIN TO FOUNTAIN LANE,0,316553,39145
5526,1,472492,2F E MAIN TO FOUNTAIN LANE,0,316554,39144
5526,1,472592,2P NORTH HIGH TO CROSSWOODS,1,316579,39160
5526,1,472593,2P NORTH HIGH TO CROSSWOODS,1,316585,39161
5526,1,472615,2P NORTH HIGH TO CROSSWOODS,1,316564,39161
5526,1,472616,2P NORTH HIGH TO CROSSWOODS,1,316577,39161
5526,1,472617,2P NORTH HIGH TO CROSSWOODS,1,316593,39170
5526,1,472618,2P NORTH HIGH TO CROSSWOODS,1,316504,39170
5526,1,472619,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316566,39171
5526,1,472620,2V NORTH HIGH TO FENWAY ROAD,1,316553,39177
5526,1,472621,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316552,39166
5526,1,472622,2V NORTH HIGH TO FENWAY ROAD,1,316559,39178
5526,1,472654,2V NORTH HIGH TO FENWAY ROAD,1,316567,39178
5526,1,472655,2V NORTH HIGH TO FENWAY ROAD,1,316579,39177
5526,1,472685,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316560,39164
5526,1,472686,2V NORTH HIGH TO FENWAY ROAD,1,316557,39178
5526,1,472631,2V NORTH HIGH TO FENWAY ROAD,1,316568,39177
5526,1,472687,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316570,39180
5526,1,472688,2V NORTH HIGH TO FENWAY ROAD,1,316562,39177
5526,1,472689,2V NORTH HIGH TO FENWAY ROAD,1,316556,39175
5526,1,472632,2V NORTH HIGH TO FENWAY ROAD,1,316569,39177
5526,1,472690,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316572,39166
5526,1,472656,2V NORTH HIGH TO FENWAY ROAD,1,316594,39177
5526,1,472657,2V NORTH HIGH TO FENWAY ROAD,1,316555,39177
5526,1,472660,2V NORTH HIGH TO FENWAY ROAD,1,316571,39176
5526,1,472661,2V NORTH HIGH TO FENWAY ROAD,1,316553,39173
5526,1,472623,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316580,39164
5526,1,472624,2V NORTH HIGH TO FENWAY ROAD,1,316587,39173
5526,1,472633,2V NORTH HIGH TO FENWAY ROAD,1,316554,39177
5526,1,472605,2V NORTH HIGH TO FENWAY ROAD,1,316564,39173
5526,1,472606,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316585,39166
5526,1,472664,2V NORTH HIGH TO FENWAY ROAD,1,316559,39177
5526,1,472665,2V NORTH HIGH TO FENWAY ROAD,1,316577,39173
5526,1,472676,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316566,39168
5526,1,472645,2V NORTH HIGH TO FENWAY ROAD,1,316565,39175
5526,1,472634,2V NORTH HIGH TO FENWAY ROAD,1,316579,39177
5526,1,472646,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316557,39168
5526,1,472635,2V NORTH HIGH TO FENWAY ROAD,1,316504,39177
5526,1,472647,2V NORTH HIGH TO FENWAY ROAD,1,316558,39176
5526,1,472648,2V NORTH HIGH TO FENWAY ROAD,1,316568,39177
5526,1,472636,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316556,39180
5526,1,472649,2V NORTH HIGH TO FENWAY ROAD,1,316560,39177
5526,1,472650,2V NORTH HIGH TO FENWAY ROAD,1,316552,39175
5526,1,472651,2V NORTH HIGH TO FENWAY ROAD,1,316574,39173
5526,1,472652,2N NORTH HIGH TO GRACELAND AND CROSSWOODS,1,316569,39168
